"time","datacount","interval","activity","cumulativesteps","methrs","steps"
2019-02-20 00:00:00,13,1,"2",0,0.00111111111111111,2
2019-02-20 00:00:01,23,0.9,"2",2,0.00107222222222222,2
2019-02-20 00:00:02,32,1,"2",4,0.00111111111111111,2
2019-02-20 00:00:03,42,0.9,"2",6,0.00107222222222222,2
2019-02-20 00:00:04,51,0.9,"2",8,0.00107222222222222,2
2019-02-20 00:00:05,60,1,"2",10,0.00111111111111111,2
2019-02-20 00:00:05,70,0.9,"2",12,0.00107222222222222,2
2019-02-20 00:00:06,79,0.9,"2",14,0.00107222222222222,2
2019-02-20 00:00:07,88,1,"2",16,0.00111111111111111,2
2019-02-20 00:00:08,98,0.9,"2",18,0.00107222222222222,2
2019-02-20 00:00:09,107,0.9,"2",20,0.00107222222222222,2
2019-02-20 00:00:10,116,1,"2",22,0.00111111111111111,2
2019-02-20 00:00:11,126,0.9,"2",24,0.00107222222222222,2
2019-02-20 00:00:12,135,0.9,"2",26,0.00107222222222222,2
2019-02-20 00:00:13,144,1,"2",28,0.00111111111111111,2
2019-02-20 00:00:14,154,1,"2",30,0.00111111111111111,2
2019-02-20 00:00:15,164,0.9,"2",32,0.00107222222222222,2
2019-02-20 00:00:16,173,0.9,"2",34,0.00107222222222222,2
2019-02-20 00:00:17,182,1,"2",36,0.00111111111111111,2
2019-02-20 00:00:18,192,1,"2",38,0.00111111111111111,2
2019-02-20 00:00:19,202,0.9,"2",40,0.00107222222222222,2
2019-02-20 00:00:20,211,1,"2",42,0.00111111111111111,2
2019-02-20 00:00:21,221,0.9,"2",44,0.00107222222222222,2
2019-02-20 00:00:21,230,1,"2",46,0.00111111111111111,2
2019-02-20 00:00:22,240,0.9,"2",48,0.00107222222222222,2
2019-02-20 00:00:23,249,1,"2",50,0.00111111111111111,2
2019-02-20 00:00:24,259,1,"2",52,0.00111111111111111,2
2019-02-20 00:00:25,269,0.9,"2",54,0.00107222222222222,2
2019-02-20 00:00:26,278,0.9,"2",56,0.00107222222222222,2
2019-02-20 00:00:27,287,1,"2",58,0.00111111111111111,2
2019-02-20 00:00:28,297,0.9,"2",60,0.00107222222222222,2
2019-02-20 00:00:29,306,0.9,"2",62,0.00107222222222222,2
2019-02-20 00:00:30,315,1,"2",64,0.00111111111111111,2
2019-02-20 00:00:31,325,0.9,"2",66,0.00107222222222222,2
2019-02-20 00:00:32,334,0.9,"2",68,0.00107222222222222,2
2019-02-20 00:00:33,343,1,"2",70,0.00111111111111111,2
2019-02-20 00:00:34,353,0.9,"2",72,0.00107222222222222,2
2019-02-20 00:00:35,362,0.9,"2",74,0.00107222222222222,2
2019-02-20 00:00:36,371,1,"2",76,0.00111111111111111,2
2019-02-20 00:00:37,381,0.9,"2",78,0.00107222222222222,2
2019-02-20 00:00:37,390,0.9,"2",80,0.00107222222222222,2
2019-02-20 00:00:38,399,0.9,"2",82,0.00107222222222222,2
2019-02-20 00:00:39,408,1,"2",84,0.00111111111111111,2
2019-02-20 00:00:40,418,0.9,"2",86,0.00107222222222222,2
2019-02-20 00:00:41,427,0.9,"2",88,0.00107222222222222,2
2019-02-20 00:00:42,436,1,"2",90,0.00111111111111111,2
2019-02-20 00:00:43,446,0.9,"2",92,0.00107222222222222,2
2019-02-20 00:00:44,455,0.9,"2",94,0.00107222222222222,2
2019-02-20 00:00:45,464,1,"2",96,0.00111111111111111,2
2019-02-20 00:00:46,474,0.9,"2",98,0.00107222222222222,2
2019-02-20 00:00:47,483,0.9,"2",100,0.00107222222222222,2
2019-02-20 00:00:48,492,1,"2",102,0.00111111111111111,2
2019-02-20 00:00:49,502,0.9,"2",104,0.00107222222222222,2
2019-02-20 00:00:50,511,0.9,"2",106,0.00107222222222222,2
2019-02-20 00:00:51,520,1,"2",108,0.00111111111111111,2
2019-02-20 00:00:51,530,0.9,"2",110,0.00107222222222222,2
2019-02-20 00:00:52,539,0.9,"2",112,0.00107222222222222,2
2019-02-20 00:00:53,548,1,"2",114,0.00111111111111111,2
2019-02-20 00:00:54,558,0.9,"2",116,0.00107222222222222,2
2019-02-20 00:00:55,567,0.9,"2",118,0.00107222222222222,2
2019-02-20 00:00:56,576,0.9,"2",120,0.00107222222222222,2
2019-02-20 00:00:57,585,0.9,"2",122,0.00107222222222222,2
2019-02-20 00:00:58,594,1,"2",124,0.00111111111111111,2
2019-02-20 00:00:59,604,0.9,"2",126,0.00107222222222222,2
2019-02-20 00:01:00,613,0.9,"2",128,0.00107222222222222,2
2019-02-20 00:01:01,622,1,"2",130,0.00111111111111111,2
2019-02-20 00:01:02,632,0.9,"2",132,0.00107222222222222,2
2019-02-20 00:01:03,641,0.9,"2",134,0.00107222222222222,2
2019-02-20 00:01:03,650,0.9,"2",136,0.00107222222222222,2
2019-02-20 00:01:04,659,1,"2",138,0.00111111111111111,2
2019-02-20 00:01:05,669,0.9,"2",140,0.00107222222222222,2
2019-02-20 00:01:06,678,0.9,"2",142,0.00107222222222222,2
2019-02-20 00:01:07,687,0.9,"2",144,0.00107222222222222,2
2019-02-20 00:01:08,696,1,"2",146,0.00111111111111111,2
2019-02-20 00:01:09,706,0.9,"2",148,0.00107222222222222,2
2019-02-20 00:01:10,715,1,"2",150,0.00111111111111111,2
2019-02-20 00:01:11,725,0.9,"2",152,0.00107222222222222,2
2019-02-20 00:01:12,734,1,"2",154,0.00111111111111111,2
2019-02-20 00:01:13,744,0.9,"2",156,0.00107222222222222,2
2019-02-20 00:01:14,753,0.9,"2",158,0.00107222222222222,2
2019-02-20 00:01:15,762,1,"2",160,0.00111111111111111,2
2019-02-20 00:01:16,772,0.9,"2",162,0.00107222222222222,2
2019-02-20 00:01:17,781,0.9,"2",164,0.00107222222222222,2
2019-02-20 00:01:18,790,1,"2",166,0.00111111111111111,2
2019-02-20 00:01:18,800,0.9,"2",168,0.00107222222222222,2
2019-02-20 00:01:19,809,0.9,"2",170,0.00107222222222222,2
2019-02-20 00:01:20,818,1,"2",172,0.00111111111111111,2
2019-02-20 00:01:21,828,0.9,"2",174,0.00107222222222222,2
2019-02-20 00:01:22,837,0.9,"2",176,0.00107222222222222,2
2019-02-20 00:01:23,846,0.9,"2",178,0.00107222222222222,2
2019-02-20 00:01:24,855,0.9,"2",180,0.00107222222222222,2
2019-02-20 00:01:25,864,1,"2",182,0.00111111111111111,2
2019-02-20 00:01:26,874,0.9,"2",184,0.00107222222222222,2
2019-02-20 00:01:27,883,0.9,"2",186,0.00107222222222222,2
2019-02-20 00:01:28,892,1,"2",188,0.00111111111111111,2
2019-02-20 00:01:29,902,0.9,"2",190,0.00107222222222222,2
2019-02-20 00:01:30,911,0.9,"2",192,0.00107222222222222,2
2019-02-20 00:01:30,920,1,"2",194,0.00111111111111111,2
2019-02-20 00:01:31,930,0.9,"2",196,0.00107222222222222,2
2019-02-20 00:01:32,939,0.9,"2",198,0.00107222222222222,2
2019-02-20 00:01:33,948,1,"2",200,0.00111111111111111,2
2019-02-20 00:01:34,958,0.9,"2",202,0.00107222222222222,2
2019-02-20 00:01:35,967,1,"2",204,0.00111111111111111,2
2019-02-20 00:01:36,977,0.8,"2",206,0.00103333333333333,2
2019-02-20 00:01:37,985,1,"2",208,0.00111111111111111,2
2019-02-20 00:01:38,995,0.9,"2",210,0.00107222222222222,2
2019-02-20 00:01:39,1004,0.9,"2",212,0.00107222222222222,2
2019-02-20 00:01:40,1013,0.9,"2",214,0.00107222222222222,2
2019-02-20 00:01:41,1022,1,"2",216,0.00111111111111111,2
2019-02-20 00:01:42,1032,0.9,"2",218,0.00107222222222222,2
2019-02-20 00:01:43,1041,1,"2",220,0.00111111111111111,2
2019-02-20 00:01:44,1051,0.9,"2",222,0.00107222222222222,2
2019-02-20 00:01:45,1060,0.9,"2",224,0.00107222222222222,2
2019-02-20 00:01:45,1069,1,"2",226,0.00111111111111111,2
2019-02-20 00:01:46,1079,0.9,"2",228,0.00107222222222222,2
2019-02-20 00:01:47,1088,0.9,"2",230,0.00107222222222222,2
2019-02-20 00:01:48,1097,0.9,"2",232,0.00107222222222222,2
2019-02-20 00:01:49,1106,1,"2",234,0.00111111111111111,2
2019-02-20 00:01:50,1116,0.9,"2",236,0.00107222222222222,2
2019-02-20 00:01:51,1125,0.9,"2",238,0.00107222222222222,2
2019-02-20 00:01:52,1134,1,"2",240,0.00111111111111111,2
2019-02-20 00:01:53,1144,0.9,"2",242,0.00107222222222222,2
2019-02-20 00:01:54,1153,0.9,"2",244,0.00107222222222222,2
2019-02-20 00:01:55,1162,1,"2",246,0.00111111111111111,2
2019-02-20 00:01:56,1172,0.9,"2",248,0.00107222222222222,2
2019-02-20 00:01:57,1181,0.9,"2",250,0.00107222222222222,2
2019-02-20 00:01:57,1190,1,"2",252,0.00111111111111111,2
2019-02-20 00:01:58,1200,0.9,"2",254,0.00107222222222222,2
2019-02-20 00:01:59,1209,0.9,"2",256,0.00107222222222222,2
2019-02-20 00:02:00,1218,0.9,"2",258,0.00107222222222222,2
2019-02-20 00:02:01,1227,1,"2",260,0.00111111111111111,2
2019-02-20 00:02:02,1237,0.9,"2",262,0.00107222222222222,2
2019-02-20 00:02:03,1246,0.9,"2",264,0.00107222222222222,2
2019-02-20 00:02:04,1255,1,"2",266,0.00111111111111111,2
2019-02-20 00:02:05,1265,0.9,"2",268,0.00107222222222222,2
2019-02-20 00:02:06,1274,1,"2",270,0.00111111111111111,2
2019-02-20 00:02:07,1284,0.9,"2",272,0.00107222222222222,2
2019-02-20 00:02:08,1293,0.9,"2",274,0.00107222222222222,2
2019-02-20 00:02:09,1302,0.9,"2",276,0.00107222222222222,2
2019-02-20 00:02:10,1311,1,"2",278,0.00111111111111111,2
2019-02-20 00:02:11,1321,0.9,"2",280,0.00107222222222222,2
2019-02-20 00:02:12,1330,1,"2",282,0.00111111111111111,2
2019-02-20 00:02:12,1340,0.9,"2",284,0.00107222222222222,2
2019-02-20 00:02:13,1349,0.9,"2",286,0.00107222222222222,2
2019-02-20 00:02:14,1358,1,"2",288,0.00111111111111111,2
2019-02-20 00:02:15,1368,0.9,"2",290,0.00107222222222222,2
2019-02-20 00:02:16,1377,1,"2",292,0.00111111111111111,2
2019-02-20 00:02:17,1387,0.9,"2",294,0.00107222222222222,2
2019-02-20 00:02:18,1396,1,"2",296,0.00111111111111111,2
2019-02-20 00:02:19,1406,0.9,"2",298,0.00107222222222222,2
2019-02-20 00:02:20,1415,0.9,"2",300,0.00107222222222222,2
2019-02-20 00:02:21,1424,1,"2",302,0.00111111111111111,2
2019-02-20 00:02:22,1434,0.9,"2",304,0.00107222222222222,2
2019-02-20 00:02:23,1443,1,"2",306,0.00111111111111111,2
2019-02-20 00:02:24,1453,1,"2",308,0.00111111111111111,2
2019-02-20 00:02:25,1463,0.9,"2",310,0.00107222222222222,2
2019-02-20 00:02:26,1472,1,"2",312,0.00111111111111111,2
2019-02-20 00:02:27,1482,0.9,"2",314,0.00107222222222222,2
2019-02-20 00:02:28,1491,0.9,"2",316,0.00107222222222222,2
2019-02-20 00:02:28,1500,0.9,"2",318,0.00107222222222222,2
2019-02-20 00:02:29,1509,0.8,"2",320,0.00103333333333333,2
2019-02-20 00:02:30,1517,0.9,"2",322,0.00107222222222222,2
2019-02-20 00:02:31,1526,0.9,"2",324,0.00107222222222222,2
2019-02-20 00:02:32,1535,0.9,"2",326,0.00107222222222222,2
2019-02-20 00:02:33,1544,1,"2",328,0.00111111111111111,2
2019-02-20 00:02:34,1554,0.8,"2",330,0.00103333333333333,2
2019-02-20 00:02:35,1562,0.9,"2",332,0.00107222222222222,2
