"time","datacount","interval","activity","cumulativesteps","methrs","steps"
2019-02-21 07:42:45,556373,1.1,"1",0,0.000427777777777778,0
2019-02-21 07:42:46,556384,1.2,"2",2,0.00118888888888889,2
2019-02-21 07:42:47,556396,14.1,"1",2,0.00548333333333333,0
2019-02-21 07:43:01,556537,5.9,"2",4,0.00301666666666667,2
2019-02-21 07:43:07,556596,21.3,"1",4,0.00828333333333333,0
2019-02-21 07:43:28,556809,2.3,"2",6,0.00161666666666667,2
2019-02-21 07:43:31,556832,2.3,"2",8,0.00161666666666667,2
2019-02-21 07:43:33,556855,1.9,"2",10,0.00146111111111111,2
2019-02-21 07:43:35,556874,1.5,"2",12,0.00130555555555556,2
2019-02-21 07:43:36,556889,1.4,"2",14,0.00126666666666667,2
2019-02-21 07:43:38,556903,1.2,"2",16,0.00118888888888889,2
2019-02-21 07:43:39,556915,1.5,"2",18,0.00130555555555556,2
2019-02-21 07:43:40,556930,3.7,"2",20,0.00216111111111111,2
2019-02-21 07:43:44,556967,3.8,"1",20,0.00147777777777778,0
2019-02-21 07:43:48,557005,242.6,"0",20,0.0842361111111111,0
2019-02-21 07:47:51,559431,218.7,"1",20,0.08505,0
2019-02-21 07:51:29,561618,4.7,"2",22,0.00255,2
2019-02-21 07:51:34,561665,3.8,"2",24,0.0022,2
2019-02-21 07:51:38,561703,1.3,"2",26,0.00122777777777778,2
2019-02-21 07:51:39,561716,0.8,"2",28,0.00103333333333333,2
2019-02-21 07:51:40,561724,2,"2",30,0.0015,2
2019-02-21 07:51:42,561744,1.6,"2",32,0.00134444444444444,2
2019-02-21 07:51:44,561760,1.4,"2",34,0.00126666666666667,2
2019-02-21 07:51:45,561774,57.2,"1",34,0.0222444444444444,0
2019-02-21 07:52:42,562346,4,"2",36,0.00227777777777778,2
2019-02-21 07:52:46,562386,1.6,"2",38,0.00134444444444444,2
2019-02-21 07:52:48,562402,57.2,"1",38,0.0222444444444444,0
2019-02-21 07:53:45,562974,2.6,"2",40,0.00173333333333333,2
2019-02-21 07:53:48,563000,1.4,"2",42,0.00126666666666667,2
